selection_index,candidate_id,source_dataset,edit_type,instruction_original,strict_eligible,review_flags,region_correct_y_n,instruction_unambiguous_y_n,local_edit_y_n,gt_correct_y_n_or_na,multi_target_mapping_y_n_or_na,final_decision_keep_drop_rewrite,reviewer,review_notes
40,cb_train-00001-of-00007_0354,CompBench,add,add a giraffe on the right side of the giraffe that is similar in appearance and facing forward,True,,,,,,,,,
41,cb_train-00001-of-00007_0396,CompBench,add,add a black car on the lower left of the road with only the tail and facing left,True,,,,,,,,,
42,cb_train-00001-of-00007_0402,CompBench,add,add a parrot on the right side of the parrot on the right that is standing on a person's finger and looks similar to other parrots,True,,,,,,,,,
43,cb_train-00001-of-00007_0412,CompBench,add,add a black plane on the right of the first fighter jet similar to the leftmost one,True,,,,,,,,,
44,cb_train-00002-of-00007_0069,CompBench,add,add a zebra on the right side of the zebra facing its front,True,,,,,,,,,
45,cb_train-00002-of-00007_0079,CompBench,add,add a grey fish with a yellow head on the left side of the goldfish,True,,,,,,,,,
46,cb_train-00002-of-00007_0086,CompBench,add,add a white goose facing right on below the black bucket,True,,,,,,,,,
47,cb_train-00002-of-00007_0089,CompBench,add,add a tiger walking to the left front between the two tigers near the pool,True,,,,,,,,,
48,cb_train-00002-of-00007_0117,CompBench,add,"add a tiger on the leftmost of the cluster, above the second tiger from the left",True,,,,,,,,,
49,cb_train-00002-of-00007_0141,CompBench,add,add a tiger on the leftmost with its tail facing forward,True,,,,,,,,,
50,cb_train-00006-of-00007_0274,CompBench,multi_object_add,add a smaller zebra on the left and a bigger zebra on the right,True,,,,,,,,,
51,cb_train-00006-of-00007_0275,CompBench,multi_object_add,add a zebra on the left of the one far behind the zebra herds and a small zebra to the right of the lion,True,,,,,,,,,
52,cb_train-00006-of-00007_0278,CompBench,multi_object_add,add a yellow bird on the rightmost of the birds and add a grey bird on the left of it,True,,,,,,,,,
53,cb_train-00006-of-00007_0282,CompBench,multi_object_add,add a small dog on the right of the dog on the upper right and a yellow dog on the left of the yellow dog,True,,,,,,,,,
54,cb_train-00006-of-00007_0284,CompBench,multi_object_add,add a small yellow horse on the rightmost and half body of a white horse on the left,True,,,,,,,,,
55,cb_train-00006-of-00007_0285,CompBench,multi_object_add,add a tiger on the leftmost and a tiger standing on the rock on the right,True,,,,,,,,,
56,cb_train-00006-of-00007_0286,CompBench,multi_object_add,add two bears on the right of the bear,True,,,,,,,,,
57,cb_train-00006-of-00007_0288,CompBench,multi_object_add,add a white and red fish above the yellow fish and a black and red fish on the upper right,True,,,,,,,,,
58,cb_train-00006-of-00007_0289,CompBench,multi_object_add,add a white sheep and a black sheep to the right of it,True,,,,,,,,,
59,cb_train-00006-of-00007_0292,CompBench,multi_object_add,add one plane on the left and another one on the right,True,,,,,,,,,
60,cb_train-00006-of-00007_0293,CompBench,multi_object_add,add a smaller crane on the uppper right of the larger crane and a small crane on the left,True,,,,,,,,,
61,cb_train-00006-of-00007_0294,CompBench,multi_object_add,add an antelope in front of the left zebra and an antelope in front of the right zebra,True,,,,,,,,,
62,cb_train-00006-of-00007_0296,CompBench,multi_object_add,add two white rabbits up and down,True,,,,,,,,,
63,cb_train-00006-of-00007_0297,CompBench,multi_object_add,add a zebra on the left of the tiger and a zebra on the left of the rightmost zebra,True,,,,,,,,,
64,cb_train-00006-of-00007_0298,CompBench,multi_object_add,add a red fish above the light yellow fish and a red fish on the upper right,True,,,,,,,,,
65,cb_train-00006-of-00007_0299,CompBench,multi_object_add,add a red fish on the upper left and a light yellow fish in the middle,True,,,,,,,,,
66,cb_train-00006-of-00007_0300,CompBench,multi_object_add,add a red fish on the upper left and a light yellow fish on the left,True,,,,,,,,,
67,cb_train-00006-of-00007_0301,CompBench,multi_object_add,add a red fish in the middle and a light yellow fish on the left of the orange fish,True,,,,,,,,,
68,cb_train-00006-of-00007_0305,CompBench,multi_object_add,add a yellow fish above the red fish in the bottom and a white fish on the right of the red fish on the upper left corner,True,,,,,,,,,
69,cb_train-00006-of-00007_0310,CompBench,multi_object_add,add a black duck on the upper left near the feeding bowl and a black duck facing the feeding bowl in front,True,,,,,,,,,
70,cb_train-00006-of-00007_0311,CompBench,multi_object_add,add two red fish up and down in the water,True,,,,,,,,,
71,cb_train-00006-of-00007_0316,CompBench,multi_object_add,add a white behind the black bird on the right and a black bird standing on the bucket,True,,,,,,,,,
72,cb_train-00006-of-00007_0317,CompBench,multi_object_add,add a black bird in front of the white bird on the left and a black bird in front of the big bowl,True,,,,,,,,,
73,cb_train-00006-of-00007_0325,CompBench,multi_object_add,add two white goats,True,,,,,,,,,
74,cb_train-00006-of-00007_0326,CompBench,multi_object_add,add a duck to the rear left of the rightmost duck and a duck to the rear right of the leftmost duck,True,,,,,,,,,
75,cb_train-00006-of-00007_0332,CompBench,multi_object_add,add a white dog on the rightmost in front of the slope and a taller white dog on the left of the black dog,True,,,,,,,,,
76,cb_train-00006-of-00007_0333,CompBench,multi_object_add,add a monkey hanging on the rope on the upper right and a monkey standing on the wood on the bottom right,True,,,,,,,,,
77,cb_train-00006-of-00007_0335,CompBench,multi_object_add,add a man wearing blue T-shirt and black shorts sitting in the boat and a man wearing blue T-shirt and blue jeans rowing,True,,,,,,,,,
78,cb_train-00006-of-00007_0337,CompBench,multi_object_add,add a blue and grey bird on the right of the leftmost white bird and a white bird on the rightmost,True,,,,,,,,,
79,cb_train-00006-of-00007_0342,CompBench,multi_object_add,add two black birds on the right,True,,,,,,,,,
80,cb_train-00006-of-00007_0344,CompBench,multi_object_remove,remove the upper yellow fish and the white fish on the right,True,,,,,,,,,
81,cb_train-00006-of-00007_0347,CompBench,multi_object_remove,remove the left one between the two zebras far behind the zebra herds and the zebra hunted by the lion,True,,,,,,,,,
82,cb_train-00006-of-00007_0348,CompBench,multi_object_remove,remove the two zebras on the left and right of the lion,True,,,,,,,,,
83,cb_train-00006-of-00007_0350,CompBench,multi_object_remove,remove the grey and the yellow bird on the rightmost of the birds,True,,,,,,,,,
84,cb_train-00006-of-00007_0352,CompBench,multi_object_remove,remove the two long fish,True,,,,,,,,,
85,cb_train-00006-of-00007_0353,CompBench,multi_object_remove,remove the fish tail on the upper left and the fish below,True,,,,,,,,,
86,cb_train-00006-of-00007_0355,CompBench,multi_object_remove,remove the leftmost and the rightmost zebras,True,,,,,,,,,
87,cb_train-00006-of-00007_0358,CompBench,multi_object_remove,remove the two bears on the right,True,,,,,,,,,
88,cb_train-00006-of-00007_0361,CompBench,multi_object_remove,remove the two sheep,True,,,,,,,,,
89,cb_train-00006-of-00007_0362,CompBench,multi_object_remove,remove the two birds flying above,True,,,,,,,,,
90,cb_train-00006-of-00007_0364,CompBench,multi_object_remove,remove the planes,True,,,,,,,,,
91,cb_train-00006-of-00007_0366,CompBench,multi_object_remove,remove the two antelopes,True,,,,,,,,,
92,cb_train-00006-of-00007_0369,CompBench,multi_object_remove,remove the zebra hunted by the lion and the second zebra on the right,True,,,,,,,,,
93,cb_train-00006-of-00007_0370,CompBench,multi_object_remove,remove the red fish above the light yellow fish and the red fish on the upper right,True,,,,,,,,,
94,cb_train-00006-of-00007_0371,CompBench,multi_object_remove,remove the red fish on the upper left and the light yellow fish in the middle,True,,,,,,,,,
95,cb_train-00006-of-00007_0372,CompBench,multi_object_remove,remove the red fish on the upper left and the light yellow fish on the left,True,,,,,,,,,
96,cb_train-00006-of-00007_0373,CompBench,multi_object_remove,remove the red fish in the middle and the light yellow fish on the left of the orange fish,True,,,,,,,,,
97,cb_train-00006-of-00007_0377,CompBench,multi_object_remove,remove the biggest yellow fish in the middle and the white fish on the upper left,True,,,,,,,,,
98,cb_train-00006-of-00007_0378,CompBench,multi_object_remove,remove the leftmost and rightmost white cow,True,,,,,,,,,
99,cb_train-00006-of-00007_0380,CompBench,multi_object_remove,remove the two black ducks,True,,,,,,,,,
100,cb_train-00006-of-00007_0382,CompBench,multi_object_remove,remove all the black ducks except the right one,True,,,,,,,,,
101,cb_train-00006-of-00007_0383,CompBench,multi_object_remove,remove the two fish,True,,,,,,,,,
102,cb_train-00006-of-00007_0384,CompBench,multi_object_remove,remove the rabbit on the left and the one on the upper right,True,,,,,,,,,
103,cb_train-00006-of-00007_0385,CompBench,multi_object_remove,remove the two yellow fish,True,,,,,,,,,
104,cb_train-00006-of-00007_0388,CompBench,multi_object_remove,remove the white bird on the right and the black bird standing on the bucket,True,,,,,,,,,
105,cb_train-00006-of-00007_0389,CompBench,multi_object_remove,remove the two black birds,True,,,,,,,,,
106,cb_train-00006-of-00007_0396,CompBench,multi_object_remove,remove the zebra facing front on the right and the leftmost zebra,True,,,,,,,,,
107,cb_train-00006-of-00007_0401,CompBench,multi_object_remove,remove the rightmost and the leftmost flamingos,True,,,,,,,,,
108,cb_train-00006-of-00007_0403,CompBench,multi_object_remove,remove the rightmost and second rightmost fish,True,,,,,,,,,
109,cb_train-00006-of-00007_0409,CompBench,multi_object_remove,remove the blue and grey bird and the rightmost white bird,True,,,,,,,,,
110,cb_train-00002-of-00007_0183,CompBench,remove,remove the second person on the left,True,,,,,,,,,
111,cb_train-00002-of-00007_0268,CompBench,remove,remove the person on the right,True,,,,,,,,,
112,cb_train-00002-of-00007_0322,CompBench,remove,remove the duck on the rightmost and upper side,True,,,,,,,,,
113,cb_train-00002-of-00007_0323,CompBench,remove,remove the duck in the upper right corner of the duck group,True,,,,,,,,,
114,cb_train-00002-of-00007_0324,CompBench,remove,remove the duck in the upper right corner of the group of ducks,True,,,,,,,,,
115,cb_train-00002-of-00007_0325,CompBench,remove,remove the duck in the upper right corner of the duck flock,True,,,,,,,,,
116,cb_train-00002-of-00007_0339,CompBench,remove,remove the rightmost sheep,True,,,,,,,,,
117,cb_train-00002-of-00007_0367,CompBench,remove,remove the chicken at the lower leftmost,True,,,,,,,,,
118,cb_train-00002-of-00007_0377,CompBench,remove,remove the cat on the right,True,,,,,,,,,
119,cb_train-00002-of-00007_0385,CompBench,remove,remove the green bird on the upper side,True,,,,,,,,,
120,cb_train-00002-of-00007_0405,CompBench,remove,remove the dog,True,,,,,,,,,
121,cb_train-00003-of-00007_0025,CompBench,remove,remove the second monkey on the left,True,,,,,,,,,
122,cb_train-00003-of-00007_0026,CompBench,remove,remove the rightmost monkey on the wooden boat,True,,,,,,,,,
123,cb_train-00003-of-00007_0027,CompBench,remove,remove the second monkey on the right side of the boat,True,,,,,,,,,
124,cb_train-00003-of-00007_0041,CompBench,remove,remove the rightmost bear,True,,,,,,,,,
125,cb_train-00003-of-00007_0046,CompBench,remove,remove the second bear on the right,True,,,,,,,,,
126,cb_train-00003-of-00007_0061,CompBench,remove,remove the zebra on the right,True,,,,,,,,,
127,cb_train-00003-of-00007_0080,CompBench,remove,remove the cat,True,,,,,,,,,
128,cb_train-00003-of-00007_0086,CompBench,remove,remove the leftmost dog,True,,,,,,,,,
129,cb_train-00003-of-00007_0087,CompBench,remove,remove the rightmost dog,True,,,,,,,,,
130,cb_train-00003-of-00007_0123,CompBench,remove,remove the leftmost chicken,True,,,,,,,,,
131,cb_train-00003-of-00007_0138,CompBench,remove,remove the zebra in the middle of the left,True,,,,,,,,,
132,cb_train-00003-of-00007_0139,CompBench,remove,remove the rabbit on the top,True,,,,,,,,,
133,cb_train-00003-of-00007_0142,CompBench,remove,remove the leftmost giraffe,True,,,,,,,,,
134,cb_train-00003-of-00007_0147,CompBench,remove,remove the bear on the rightmost,True,,,,,,,,,
135,cb_train-00003-of-00007_0148,CompBench,remove,remove the bear on the rightmost,True,,,,,,,,,
136,cb_train-00003-of-00007_0149,CompBench,remove,remove the bear on the rightmost,True,,,,,,,,,
137,cb_train-00003-of-00007_0150,CompBench,remove,remove the rightmost bear,True,,,,,,,,,
138,cb_train-00003-of-00007_0168,CompBench,remove,remove the white fish on the upper part,True,,,,,,,,,
139,cb_train-00003-of-00007_0174,CompBench,remove,remove the rightmost zebra,True,,,,,,,,,
140,cb_train-00003-of-00007_0179,CompBench,remove,remove the person,True,,,,,,,,,
141,cb_train-00003-of-00007_0183,CompBench,remove,remove the fish on the left,True,,,,,,,,,
142,cb_train-00003-of-00007_0191,CompBench,remove,remove the turtle in the upper left,True,,,,,,,,,
143,cb_train-00003-of-00007_0196,CompBench,remove,remove the goose,True,,,,,,,,,
144,cb_train-00003-of-00007_0201,CompBench,remove,remove the leftmost tiger,True,,,,,,,,,
145,cb_train-00003-of-00007_0207,CompBench,remove,remove the rightmost bird,True,,,,,,,,,
146,cb_train-00003-of-00007_0229,CompBench,remove,remove the second bird on the left,True,,,,,,,,,
147,cb_train-00003-of-00007_0230,CompBench,remove,remove the second crane on the left,True,,,,,,,,,
148,cb_train-00003-of-00007_0232,CompBench,remove,remove the second crane from the left,True,,,,,,,,,
149,cb_train-00004-of-00007_0121,CompBench,remove,remove the bottommost turtle,True,,,,,,,,,
150,cb_train-00004-of-00007_0139,CompBench,remove,remove the leftmost sheep,True,,,,,,,,,
151,cb_train-00004-of-00007_0158,CompBench,remove,remove the leftmost duck in the group of ducks,True,,,,,,,,,
152,cb_train-00004-of-00007_0212,CompBench,remove,remove the car on the road and by the fence,True,,,,,,,,,
153,cb_train-00004-of-00007_0218,CompBench,remove,remove the leftmost black fish,True,,,,,,,,,
154,cb_train-00004-of-00007_0264,CompBench,remove,remove the zebra on the right,True,,,,,,,,,
155,cb_train-00004-of-00007_0299,CompBench,remove,remove the bird on the left,True,,,,,,,,,
156,cb_train-00004-of-00007_0304,CompBench,remove,remove the fish in the distance,True,,,,,,,,,
157,cb_train-00004-of-00007_0346,CompBench,remove,remove the rightmost bear,True,,,,,,,,,
158,cb_train-00004-of-00007_0349,CompBench,remove,remove the person,True,,,,,,,,,
159,cb_train-00004-of-00007_0359,CompBench,remove,remove the dog on the right,True,,,,,,,,,
160,cb_train-00004-of-00007_0393,CompBench,remove,remove the airplane on the ground with a green protective net,True,,,,,,,,,
161,cb_train-00005-of-00007_0007,CompBench,remove,remove the plane in the middle of the group of planes,True,,,,,,,,,
162,cb_train-00005-of-00007_0008,CompBench,remove,remove the sheep on the right,True,,,,,,,,,
163,cb_train-00005-of-00007_0009,CompBench,remove,remove the car on the left,True,,,,,,,,,
164,cb_train-00005-of-00007_0086,CompBench,remove,remove the dog,True,,,,,,,,,
165,cb_train-00005-of-00007_0154,CompBench,remove,remove the leftmost pigeon,True,,,,,,,,,
166,cb_train-00005-of-00007_0180,CompBench,remove,remove the cat at the bottom,True,,,,,,,,,
167,cb_train-00005-of-00007_0189,CompBench,remove,remove the rightmost giraffe,True,,,,,,,,,
168,cb_train-00005-of-00007_0193,CompBench,remove,remove the plane on the left,True,,,,,,,,,
169,cb_train-00005-of-00007_0198,CompBench,remove,remove the leftmost chicken,True,,,,,,,,,
170,cb_train-00005-of-00007_0238,CompBench,replace,replace the fish on the right with a black camera long lens,True,,,,,,,,,
171,cb_train-00005-of-00007_0247,CompBench,replace,replace the person on the right with a person in white,True,,,,,,,,,
172,cb_train-00005-of-00007_0248,CompBench,replace,replace the man in black on the right with a woman in white without a backpack,True,,,,,,,,,
173,cb_train-00005-of-00007_0249,CompBench,replace,replace the rightmost black-clothed person with a white-clothed woman without a backpack,True,,,,,,,,,
174,cb_train-00005-of-00007_0250,CompBench,replace,replace the person on the right with a person wearing white,True,,,,,,,,,
175,cb_train-00005-of-00007_0273,CompBench,replace,replace the giraffe with a black bird facing left,True,,,,,,,,,
176,cb_train-00005-of-00007_0285,CompBench,replace,replace the monkey on the right with a camera,True,,,,,,,,,
177,cb_train-00005-of-00007_0290,CompBench,replace,replace the inflatable kayak with an iron boat,True,,,,,,,,,
178,cb_train-00005-of-00007_0291,CompBench,replace,replace the red kayak with a white wooden boat,True,,,,,,,,,
179,cb_train-00005-of-00007_0295,CompBench,replace,replace the bus with a white car moving to the left,True,,,,,,,,,
180,cb_train-00005-of-00007_0297,CompBench,replace,replace the leftmost rabbit with a small table model,True,,,,,,,,,
181,cb_train-00005-of-00007_0298,CompBench,replace,replace the leftmost person with a person in black who is facing away,True,,,,,,,,,
182,cb_train-00005-of-00007_0303,CompBench,replace,replace the brown SUV with a white SUV,True,,,,,,,,,
183,cb_train-00005-of-00007_0304,CompBench,replace,replace the van with a silver car driving to the right,True,,,,,,,,,
184,cb_train-00005-of-00007_0306,CompBench,replace,replace the brown car with a grey pickup truck heading right,True,,,,,,,,,
185,cb_train-00005-of-00007_0307,CompBench,replace,replace the small car with a black motorcycle with brown side boxes riding to the right,True,,,,,,,,,
186,cb_train-00005-of-00007_0310,CompBench,replace,replace the cat on the left with a small table and a cup,True,,,,,,,,,
187,cb_train-00005-of-00007_0311,CompBench,replace,replace the black MPV with a grey-black sedan,True,,,,,,,,,
188,cb_train-00005-of-00007_0314,CompBench,replace,replace the orange motorcycle with a blue motorcycle,True,,,,,,,,,
189,cb_train-00005-of-00007_0315,CompBench,replace,replace the orange motorcycle with a blue motorcycle,True,,,,,,,,,
190,cb_train-00005-of-00007_0316,CompBench,replace,replace the orange motorcycle with a blue motorcycle,True,,,,,,,,,
191,cb_train-00005-of-00007_0317,CompBench,replace,replace the white rabbit on the left with a cup,True,,,,,,,,,
192,cb_train-00005-of-00007_0323,CompBench,replace,replace the turtle on the right with a black small table,True,,,,,,,,,
193,cb_train-00005-of-00007_0325,CompBench,replace,replace the red and white fish with a black camera,True,,,,,,,,,
194,cb_train-00005-of-00007_0326,CompBench,replace,replace the fish on the right with a lens,True,,,,,,,,,
195,cb_train-00005-of-00007_0328,CompBench,replace,replace the car on the left with a blue and white bus,True,,,,,,,,,
196,cb_train-00005-of-00007_0332,CompBench,replace,replace the truck with a white car in front,True,,,,,,,,,
197,cb_train-00005-of-00007_0334,CompBench,replace,replace the bottom rabbit with a silver bowl,True,,,,,,,,,
198,cb_train-00005-of-00007_0335,CompBench,replace,replace the white rabbit with a black clock,True,,,,,,,,,
199,cb_train-00005-of-00007_0336,CompBench,replace,replace the white rabbit on the right with a camera,True,,,,,,,,,
200,cb_train-00005-of-00007_0337,CompBench,replace,replace the white rabbit in front with a white bottle,True,,,,,,,,,
201,cb_train-00005-of-00007_0338,CompBench,replace,replace the rabbit with a cup,True,,,,,,,,,
202,cb_train-00005-of-00007_0339,CompBench,replace,replace the upper right rabbit with a cup,True,,,,,,,,,
203,cb_train-00005-of-00007_0340,CompBench,replace,replace the orange cat in the middle with a sign,True,,,,,,,,,
204,cb_train-00005-of-00007_0344,CompBench,replace,replace the white cat on the right with a black shelf,True,,,,,,,,,
205,cb_train-00005-of-00007_0345,CompBench,replace,replace the boat below with a bridge,True,,,,,,,,,
206,cb_train-00005-of-00007_0353,CompBench,replace,replace the cat on the right with a purple-black cushion,True,,,,,,,,,
207,cb_train-00005-of-00007_0355,CompBench,replace,replace the cat on the right with a black circle,True,,,,,,,,,
208,cb_train-00005-of-00007_0356,CompBench,replace,replace the black cat on the right with a black cushion,True,,,,,,,,,
209,cb_train-00005-of-00007_0357,CompBench,replace,replace the cat on the right with a black rope,True,,,,,,,,,
210,cb_train-00005-of-00007_0360,CompBench,replace,replace the dog on the left with a chair,True,,,,,,,,,
211,cb_train-00005-of-00007_0361,CompBench,replace,replace the white dog with a black stool,True,,,,,,,,,
212,cb_train-00005-of-00007_0362,CompBench,replace,replace the white sheep in front with a black chair,True,,,,,,,,,
213,cb_train-00005-of-00007_0367,CompBench,replace,replace the turtle with a black pot,True,,,,,,,,,
214,cb_train-00005-of-00007_0368,CompBench,replace,replace the turtle in the middle with a small table,True,,,,,,,,,
215,cb_train-00005-of-00007_0369,CompBench,replace,replace the middle turtle with a wooden chair,True,,,,,,,,,
216,cb_train-00005-of-00007_0382,CompBench,replace,replace the leftmost dog with a black pot,True,,,,,,,,,
217,cb_train-00005-of-00007_0383,CompBench,replace,replace the yellow dog with a cardboard box,True,,,,,,,,,
218,cb_train-00005-of-00007_0384,CompBench,replace,replace the dog with a silver-blue four-legged stool,True,,,,,,,,,
219,cb_train-00005-of-00007_0386,CompBench,replace,replace the greyhound with a bench,True,,,,,,,,,
220,he_0-frDDoQqUw,HumanEdit,add,Add a top.,True,,,,,,,,,
221,he_000000000307,HumanEdit,add,Place a black dog with the neck is white in the center of the image.,True,,,,,,,,,
222,he_000000093106,HumanEdit,add,Add a top hat.,True,,,,,,,,,
223,he_0CgpDVNOKgs,HumanEdit,add,Add a hat.,True,,,,,,,,,
224,he_0E_vhMVqL9g,HumanEdit,add,Add a hat.,True,,,,,,,,,
225,he_0G9rZGQqGig,HumanEdit,add,Add a straw hat on the head.,True,,,,,,,,,
226,he_0eKR4M2uuL8,HumanEdit,add,Add a pair of sunglasses.,True,,,,,,,,,
227,he_0fOAmzgZ5cA,HumanEdit,add,Add water bottle.,True,,,,,,,,,
228,he_0jRQ-_fM0gM,HumanEdit,add,Add a white strawberry to the middle of several red strawberries.,True,,,,,,,,,
229,he_0qEmA2h57Pk,HumanEdit,add,Put a moon in the middle of the sky without any clouds,True,,,,,,,,,
230,he_0qqWALcBFnY(1),HumanEdit,add,Add a puppy to the right of the person,True,,,,,,,,,
231,he_1kdIG_258bU,HumanEdit,add,"Add a red boat in the lower right corner of the picture, with an orange-red light on the bow",True,,,,,,,,,
232,he_2OX0bKvL1-I,HumanEdit,add,Woman holding a spoon,True,,,,,,,,,
233,he_2mSzfaseWvg,HumanEdit,add,A butterfly is perched on the top of a dandelion,True,,,,,,,,,
234,he_3c1Jv1EXYtc,HumanEdit,add,Put a small hat on the woman,True,,,,,,,,,
235,he_4Cjn0FDEud8,HumanEdit,add,Add a hat.,True,,,,,,,,,
236,he_4cNByrzzNik,HumanEdit,add,Add a hat.,True,,,,,,,,,
237,he_5Hwt59WvpqM,HumanEdit,add,Add an insect.,True,,,,,,,,,
238,he_5Ufu-tY-Txk,HumanEdit,add,Add brown tops.,True,,,,,,,,,
239,he_8VPSh4Wj61Q,HumanEdit,add,Add a bee in the center of the flower in the middle of the picture,True,,,,,,,,,
240,he_8n-3h1WkaQk,HumanEdit,add,Add snow.,True,,,,,,,,,
241,he_8v2Dz6vfN80,HumanEdit,add,Add a butterfly and stick it on the flower,True,,,,,,,,,
242,he_973wAyYLeL0,HumanEdit,add,Add a bee in the center of the picture,True,,,,,,,,,
243,he_A_HTot3y5XA,HumanEdit,add,Add bees.,True,,,,,,,,,
244,he_CQwFUfliJyU,HumanEdit,add,Add a hat.,True,,,,,,,,,
245,he_CnSIcPtMG7U,HumanEdit,add,Add a hat.,True,,,,,,,,,
246,he_KJE--xk4AWE,HumanEdit,add,Add a hat.,True,,,,,,,,,
247,he_NfWZ6RB7KAY,HumanEdit,add,Add a hat.,True,,,,,,,,,
248,he_OuYESbJjiW0,HumanEdit,add,What if the wall is made of pure wood and not painted?,True,,,,,,,,,
249,he_Vw07IRhemag(1),HumanEdit,add,Add a hat.,True,,,,,,,,,
250,he__-HoZoogPgI,HumanEdit,add,Add glasses.,True,,,,,,,,,
