selection_index,candidate_id,source_dataset,edit_type,instruction_original,local_caption,source_split,source_shard,source_row,source_record_id,source_group_id,scene_group_id,reference_categories,selection_tier,selection_focus
36,cb_train-00000-of-00007_0171,CompBench,add,"add a similar bird on the lower right of the second bird on the left, which is facing down to the right",a gray bird,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,171,2d22d3be/3/00004.png,cb-src-9cc0f2a0fabf1524578b,cb-scene-2d22d3be,ordinal|side,A,ordinal_instance|directional_instance
37,cb_train-00000-of-00007_0240,CompBench,add,add a yellow chicken on the lower left corner of the first chicken on the left that is walking to the left and looks similar,a yellow chicken,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,240,42ff84a5/1/00015.png,cb-src-7009f335242146d74aed,cb-scene-42ff84a5,ordinal|side,A,ordinal_instance|directional_instance
38,cb_train-00000-of-00007_0242,CompBench,add,add a rabbit similar to the second rabbit on the right side of the left second rabbit,a white rabbit,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,242,4385b2c4/4/00004.png,cb-src-545a25ff150800c70ed2,cb-scene-4385b2c4,ordinal|side,A,ordinal_instance|directional_instance
39,cb_train-00000-of-00007_0352,CompBench,add,add a bird on the right side of the second bird from the bottom that is similar to it,a white and grey bird,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,352,7c6d3504/1/00058.png,cb-src-da6a37545b4af0baf1d6,cb-scene-7c6d3504,ordinal|side,A,ordinal_instance|directional_instance
40,cb_train-00000-of-00007_0363,CompBench,add,"add a bird on the left front of the first bird on the right, which is similar to it",two gray birds,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,363,7ebfbf57/0/00058.png,cb-src-eb7248abdfcc4683e381,cb-scene-7ebfbf57,ordinal|side,A,ordinal_instance|directional_instance
41,cb_train-00000-of-00007_0381,CompBench,add,add a rabbit on the upper side with fur color similar to another rabbit and its head below the other one,two white rabbits,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,381,80b73f1a/0/00013.png,cb-src-3b9dd30411f7adbe9490,cb-scene-80b73f1a,relative|side|exclusion,A,relative_to_neighbor|directional_instance|subset_by_exclusion
42,cb_train-00001-of-00007_0172,CompBench,add,"add a rightmost turtle on the upper right corner with its head pointing to the lower right, similar to the other turtles",a turtle,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,172,94f7c53e/1/00045.png,cb-src-8b1876675b56e3ff2845,cb-scene-94f7c53e,extreme|side|exclusion,A,extreme_or_superlative_instance|directional_instance|subset_by_exclusion
43,cb_train-00001-of-00007_0177,CompBench,add,add a similar giraffe on the right side of the first giraffe on the left and outside the railing,a giraffe,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,177,9698f06e/2/00039.png,cb-src-a978892463922d5df0e0,cb-scene-9698f06e,ordinal|side,A,ordinal_instance|directional_instance
44,cb_train-00001-of-00007_0186,CompBench,add,add a brown duck with a yellow beak on the left side of the first brown duck with a yellow beak from the right in the group of ducks,a brown duck,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,186,96a6722e/0/00078.png,cb-src-c852ccba1f50dbf8e67c,cb-scene-96a6722e,ordinal|side,A,ordinal_instance|directional_instance
45,cb_train-00002-of-00007_0013,CompBench,add,add a similar fish to the second fish on the right lower right corner with its head towards the upper left,a black-spotted goldfish,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,13,cfd946b2/0/00149.png,cb-src-9c4ce73126bb5be91717,cb-scene-cfd946b2,ordinal|side,A,ordinal_instance|directional_instance
46,cb_train-00002-of-00007_0073,CompBench,add,add a yellow chicken on the upper left of the second chicken from the left in the group of chickens,a yellow chicken,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,73,e18f1dea/0/00046.png,cb-src-7fa469f84f9f96cbffcd,cb-scene-e18f1dea,ordinal|side,A,ordinal_instance|directional_instance
47,cb_train-00003-of-00007_0263,CompBench,remove,remove the bird in the middle of the flock,green field and red house,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00003-of-00007.parquet,263,7ebfbf57/0/00005.png,cb-src-4cbdd0a9ecd9d07b9140,cb-scene-7ebfbf57,between|middle,A,between_anchors|central_instance
48,cb_train-00004-of-00007_0340,CompBench,remove,remove the second duck on the left side of the duck group,black duck and grassland,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00004-of-00007.parquet,340,b7fb59c9/0/00040.png,cb-src-be0ef63f9e1a8f0888b6,cb-scene-b7fb59c9,ordinal|side,A,ordinal_instance|directional_instance
49,cb_train-00005-of-00007_0007,CompBench,remove,remove the plane in the middle of the group of planes,sky,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00005-of-00007.parquet,7,cbdbc6c3/0/00038.png,cb-src-70f20c5d1d32c0adedb1,cb-scene-cbdbc6c3,between|middle,A,between_anchors|central_instance
50,cb_train-00005-of-00007_0126,CompBench,remove,remove the second tiger from the lower left corner of the tiger group,ground and rocks,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00005-of-00007.parquet,126,e5665030/1/00011.png,cb-src-cbc62d2cfa2502acac97,cb-scene-e5665030,ordinal|side,A,ordinal_instance|directional_instance
51,cb_train-00006-of-00007_0332,CompBench,multi_object_add,add a white dog on the rightmost in front of the slope and a taller white dog on the left of the black dog,a dog|a dog,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,332,db6533a5_00070.png,cb-src-a9efdfb7958faf37dbc9,cb-scene-db6533a5,extreme|relative|side,A,extreme_or_superlative_instance|relative_to_neighbor|directional_instance|multiple_edit_targets
52,cb_train-00000-of-00007_0292,CompBench,add,add a small lamb with similar wool color to the right of the first sheep on the top,a small brown sheep,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,292,5d2316f6/3/00068.png,cb-src-a868c7f5efa12e1ce123,cb-scene-5d2316f6,ordinal|relative|side,A,ordinal_instance|relative_to_neighbor|directional_instance
53,cb_train-00001-of-00007_0183,CompBench,add,add a brown duck on the right side behind the first duck with its body facing left,a brown duck,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,183,96a6722e/0/00072.png,cb-src-79233bd3cf1a0e3e0ac1,cb-scene-96a6722e,ordinal|relative|side,A,ordinal_instance|relative_to_neighbor|directional_instance
54,cb_train-00003-of-00007_0286,CompBench,remove,remove the second giraffe on the left side of the tree trunk at the rightmost,wall and iron fence,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00003-of-00007.parquet,286,8036b58e/2/00007.png,cb-src-656bc39d4f7ca307abf2,cb-scene-8036b58e,ordinal|extreme|side,A,ordinal_instance|extreme_or_superlative_instance|directional_instance
55,cb_train-00006-of-00007_0273,CompBench,multi_object_add,add a white fish above the upper yellow fish and another white fish on upper right above the water plants,a white fish|a white fish,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,273,02b72b8d_00016.png,cb-src-76824a2d0e8bd92484b8,cb-scene-02b72b8d,relative|side|exclusion,A,relative_to_neighbor|directional_instance|subset_by_exclusion|multiple_edit_targets
56,cb_train-00006-of-00007_0369,CompBench,multi_object_remove,remove the zebra hunted by the lion and the second zebra on the right,grass|grass,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,369,843d8f25_00046.png,cb-src-5dbb92aba2125340e426,cb-scene-843d8f25,ordinal|side,A,ordinal_instance|directional_instance|multiple_edit_targets
57,cb_train-00006-of-00007_0374,CompBench,multi_object_remove,remove the second fish on the top and the red fish on the bottom right,water|water,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,374,85aa3b0e_00140.png,cb-src-86b8e50e0e11b6804038,cb-scene-85aa3b0e,ordinal|side,A,ordinal_instance|directional_instance|multiple_edit_targets
58,cb_train-00006-of-00007_0398,CompBench,multi_object_remove,remove the second duck on the right and the second duck on the left,grass and a bird|grass and a bird,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,398,b7fb59c9_00045.png,cb-src-8605818e8f9c4eb44480,cb-scene-b7fb59c9,ordinal|side,A,ordinal_instance|directional_instance|multiple_edit_targets
59,cb_train-00000-of-00007_0021,CompBench,add,add a similar small zebra behind the leftmost zebra,two zebras,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,21,03c21af7/1/00020.png,cb-src-78265c3da98e24a617f5,cb-scene-03c21af7,extreme|relative,A,extreme_or_superlative_instance|relative_to_neighbor
60,cb_train-00000-of-00007_0360,CompBench,add,add a similar bird to the left of the rightmost bird,a goose,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,360,7ebfbf57/0/00047.png,cb-src-40aa3078504fe1fa49ef,cb-scene-7ebfbf57,extreme|relative,A,extreme_or_superlative_instance|relative_to_neighbor
61,cb_train-00000-of-00007_0391,CompBench,add,add a similar airplane below the rightmost airplane,a white grey airplane on the lower right,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,391,82a3db34/1/00097.png,cb-src-035a37b8b7e60db1a087,cb-scene-82a3db34,extreme|relative,A,extreme_or_superlative_instance|relative_to_neighbor
62,cb_train-00002-of-00007_0043,CompBench,add,add a similar zebra in front of the rightmost zebra in the zebra group,two zebras,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,43,d3ab52cc/0/00014.png,cb-src-00e4bc5b242042d53993,cb-scene-d3ab52cc,extreme|relative,A,extreme_or_superlative_instance|relative_to_neighbor
63,cb_train-00002-of-00007_0064,CompBench,add,add a sheep similar to the leftmost sheep in front of it,two brown sheep,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,64,dd5a4739/0/00045.png,cb-src-2918e39f6e729c6d2d6a,cb-scene-dd5a4739,extreme|relative,A,extreme_or_superlative_instance|relative_to_neighbor
64,cb_train-00000-of-00007_0324,CompBench,add,add a plane on the rightmost that is similar to the other planes,a black plane,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,324,76303516/1/00006.png,cb-src-0ea1cf15c47f8042f7bd,cb-scene-76303516,extreme|exclusion,A,extreme_or_superlative_instance|subset_by_exclusion
65,cb_train-00001-of-00007_0122,CompBench,add,"add a cow with its head down eating grass in front of the right rack, similar to the other cows",a gray and white cow,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,122,8c8b7913/7/00063.png,cb-src-a73a217b5593406c6b0b,cb-scene-8c8b7913,relative|exclusion,A,relative_to_neighbor|subset_by_exclusion
66,cb_train-00001-of-00007_0162,CompBench,add,add a leftmost giraffe with a color similar to the other giraffes and walking to the right,a giraffe on the leftmost side,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,162,932542cd/0/00026.png,cb-src-e58f4e89cfb1372a9625,cb-scene-932542cd,extreme|exclusion,A,extreme_or_superlative_instance|subset_by_exclusion
67,cb_train-00001-of-00007_0262,CompBench,add,add a plane on the rightmost side that is similar to the other planes,two planes,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,262,a6adef89/1/00009.png,cb-src-544a4fde587b9db7804d,cb-scene-a6adef89,extreme|exclusion,A,extreme_or_superlative_instance|subset_by_exclusion
68,cb_train-00006-of-00007_0307,CompBench,multi_object_add,add a white cow in the middle and another one on the right,a cattle|a cattle,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,307,8c8b7913_00061.png,cb-src-d04cdf19616693a359d8,cb-scene-8c8b7913,middle|side|exclusion,A,central_instance|directional_instance|subset_by_exclusion|multiple_edit_targets
69,cb_train-00006-of-00007_0324,CompBench,multi_object_add,add a zebra facing front in front of the rightmost zebra and a zebra on the leftmost,a zebra|a zebra,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,324,b33ade7c_00003.png,cb-src-fb6de34bb3e6a38c91c9,cb-scene-b33ade7c,extreme|relative,A,extreme_or_superlative_instance|relative_to_neighbor|multiple_edit_targets
70,cb_train-00000-of-00007_0048,CompBench,add,add a zebra on the lower left of the leftmost zebra with its body facing left and similar fur color,a zebra,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,48,115da184/1/00006.png,cb-src-9b0ed7b85242deb6b9ec,cb-scene-115da184,extreme|side,A,extreme_or_superlative_instance|directional_instance
